iter	Passed	Remaining
0	47	47857
1	48	24271
2	49	16344
3	49	12379
4	50	10000
5	50	8408
6	51	7273
7	51	6420
8	52	5755
9	52	5224
10	53	4789
11	53	4429
12	54	4124
13	54	3863
14	55	3635
15	55	3435
16	56	3259
17	56	3104
18	57	2964
19	57	2839
20	58	2725
21	58	2621
22	59	2527
23	60	2440
24	60	2362
25	61	2287
26	61	2217
27	62	2152
28	62	2092
29	62	2036
30	63	1984
31	64	1936
32	64	1890
33	64	1845
34	65	1803
35	65	1762
36	66	1725
37	66	1690
38	67	1656
39	67	1624
40	68	1595
41	68	1567
42	69	1540
43	69	1515
44	70	1492
45	70	1468
46	71	1446
47	71	1423
48	72	1402
49	72	1382
50	73	1363
51	73	1344
52	74	1325
53	74	1308
54	75	1292
55	75	1275
56	76	1259
57	76	1244
58	77	1230
59	77	1216
60	78	1202
61	78	1189
62	79	1176
63	79	1163
64	80	1151
65	80	1140
66	81	1128
67	81	1117
68	82	1106
69	82	1096
70	83	1086
71	83	1077
72	84	1068
73	84	1058
74	85	1049
75	85	1040
76	86	1032
77	86	1024
78	87	1016
79	87	1008
80	88	1000
81	88	993
82	88	982
83	89	975
84	90	968
85	90	962
86	91	959
87	91	952
88	92	946
89	92	940
90	93	933
91	93	927
92	94	921
93	95	915
94	95	909
95	96	904
96	96	898
97	97	892
98	97	887
99	97	881
100	98	876
101	99	871
102	99	866
103	100	861
104	100	857
105	101	852
106	101	848
107	102	844
108	102	840
109	103	836
110	103	831
111	104	827
112	104	823
113	105	819
114	105	815
115	106	811
116	106	806
117	107	802
118	107	798
119	108	794
120	108	791
121	109	786
122	109	783
123	110	779
124	110	776
125	111	773
126	111	769
127	112	765
128	113	764
129	113	761
130	114	757
131	114	754
132	115	750
133	115	747
134	116	744
135	116	741
136	117	737
137	117	734
138	118	731
139	118	728
140	119	725
141	119	721
142	119	718
143	120	715
144	120	712
145	121	709
146	121	706
147	122	704
148	122	701
149	123	698
150	123	695
151	124	693
152	124	690
153	125	687
154	125	684
155	126	682
156	126	679
157	127	677
158	127	674
159	127	671
160	128	668
161	128	666
162	129	663
163	129	661
164	130	659
165	130	656
166	131	654
167	131	652
168	132	650
169	132	647
170	133	645
171	133	643
172	134	641
173	134	639
174	135	637
175	135	635
176	136	633
177	136	631
178	137	629
179	137	627
180	138	625
181	138	623
182	139	620
183	139	618
184	140	616
185	140	614
186	140	612
187	141	610
188	141	608
189	142	606
190	142	604
191	143	602
192	143	600
193	144	599
194	144	597
195	145	595
196	145	593
197	146	591
198	146	589
199	146	587
200	147	586
201	147	584
202	148	582
203	148	581
204	149	579
205	149	577
206	150	575
207	150	574
208	151	572
209	151	570
210	152	569
211	152	567
212	153	566
213	153	564
214	154	562
215	154	561
216	155	559
217	155	557
218	155	556
219	156	554
220	157	553
221	157	552
222	158	550
223	158	549
224	159	547
225	159	546
226	160	545
227	160	543
228	161	542
229	161	540
230	162	539
231	162	538
232	163	536
233	163	535
234	164	533
235	164	532
236	164	531
237	165	529
238	165	528
239	166	527
240	166	525
241	167	524
242	167	523
243	168	521
244	168	520
245	169	519
246	169	518
247	170	516
248	170	515
